file,lines,methods,providers,assertions,density,phpdoc_ep,phpdoc_sub,classification
AgeTest.php,160,11,0,44,4.00,0,0,EP-complete
AuthTest.php,31,1,0,1,1.00,0,0,Stub
CacheTest.php,31,1,0,1,1.00,0,0,Stub
Census/CensusColumnAgeFemale5YearsTest.php,112,6,0,6,1.00,0,0,Substantial
Census/CensusColumnAgeFemaleTest.php,84,4,0,4,1.00,0,0,Substantial
Census/CensusColumnAgeMale5YearsTest.php,112,6,0,6,1.00,0,0,Substantial
Census/CensusColumnAgeMaleTest.php,84,4,0,4,1.00,0,0,Substantial
Census/CensusColumnAgeMarriedTest.php,98,4,0,4,1.00,0,0,Substantial
Census/CensusColumnAgeNextBirthDayTest.php,43,1,0,1,1.00,0,0,Stub
Census/CensusColumnAgeTest.php,43,1,0,1,1.00,0,0,Stub
Census/CensusColumnBirthDateTest.php,43,1,0,1,1.00,0,0,Stub
Census/CensusColumnBirthDayDotMonthYearTest.php,43,1,0,1,1.00,0,0,Stub
Census/CensusColumnBirthDayMonthYearTest.php,43,1,0,1,1.00,0,0,Stub
Census/CensusColumnBirthDaySlashMonthTest.php,43,1,0,1,1.00,0,0,Stub
Census/CensusColumnBirthDaySlashMonthYearTest.php,43,1,0,1,1.00,0,0,Stub
Census/CensusColumnBirthDayTest.php,50,1,0,1,1.00,0,0,Stub
Census/CensusColumnBirthMonthDayTest.php,43,1,0,1,1.00,0,0,Stub
Census/CensusColumnBirthMonthTest.php,50,1,0,1,1.00,0,0,Stub
Census/CensusColumnBirthPlaceSimpleTest.php,90,4,0,4,1.00,0,0,Substantial
Census/CensusColumnBirthPlaceTest.php,77,3,0,3,1.00,0,0,Substantial
Census/CensusColumnBirthYearTest.php,50,1,0,1,1.00,0,0,Stub
Census/CensusColumnBornForeignPartsTest.php,341,23,0,23,1.00,0,0,Smoke
Census/CensusColumnChildrenBornAliveTest.php,87,2,0,2,1.00,0,0,Smoke
Census/CensusColumnChildrenDiedTest.php,82,2,0,2,1.00,0,0,Smoke
Census/CensusColumnChildrenLivingTest.php,87,2,0,2,1.00,0,0,Smoke
Census/CensusColumnConditionCanadaMarriedSingleTest.php,346,14,0,14,1.00,0,0,Substantial
Census/CensusColumnConditionCanadaMarriedWidowedTest.php,346,14,0,14,1.00,0,0,Substantial
Census/CensusColumnConditionCanadaTest.php,346,14,0,14,1.00,0,0,Substantial
Census/CensusColumnConditionCanadaWidowedFemaleTest.php,346,14,0,14,1.00,0,0,Substantial
Census/CensusColumnConditionCanadaWidowedMaleTest.php,346,14,0,14,1.00,0,0,Substantial
Census/CensusColumnConditionCanadaWidowedTest.php,346,14,0,14,1.00,0,0,Substantial
Census/CensusColumnConditionDanishTest.php,289,12,0,12,1.00,0,0,Substantial
Census/CensusColumnConditionEnglishTest.php,289,12,0,12,1.00,0,0,Substantial
Census/CensusColumnConditionFrenchFemmeTest.php,289,12,0,12,1.00,0,0,Substantial
Census/CensusColumnConditionFrenchFilleTest.php,289,12,0,12,1.00,0,0,Substantial
Census/CensusColumnConditionFrenchGarconTest.php,289,12,0,12,1.00,0,0,Substantial
Census/CensusColumnConditionFrenchHommeTest.php,289,12,0,12,1.00,0,0,Substantial
Census/CensusColumnConditionFrenchVeufTest.php,289,12,0,12,1.00,0,0,Substantial
Census/CensusColumnConditionFrenchVeuveTest.php,293,12,0,12,1.00,0,0,Substantial
Census/CensusColumnConditionUsTest.php,346,14,0,14,1.00,0,0,Substantial
Census/CensusColumnFatherBirthPlaceSimpleTest.php,62,1,0,1,1.00,0,0,Stub
Census/CensusColumnFatherBirthPlaceTest.php,110,4,0,4,1.00,0,0,Substantial
Census/CensusColumnFatherForeignTest.php,107,4,0,4,1.00,0,0,Substantial
Census/CensusColumnFullNameTest.php,83,1,0,2,2.00,0,0,Stub
Census/CensusColumnGivenNameInitialTest.php,65,3,0,3,1.00,0,0,Substantial
Census/CensusColumnGivenNamesTest.php,53,2,0,2,1.00,0,0,Smoke
Census/CensusColumnMarriedWithinYearTest.php,119,5,0,5,1.00,0,0,Substantial
Census/CensusColumnMonthIfBornWithinYearTest.php,82,4,0,4,1.00,0,0,Substantial
Census/CensusColumnMonthIfMarriedWithinYearTest.php,119,5,0,5,1.00,0,0,Substantial
Census/CensusColumnMotherBirthPlaceSimpleTest.php,62,1,0,1,1.00,0,0,Stub
Census/CensusColumnMotherBirthPlaceTest.php,110,4,0,4,1.00,0,0,Substantial
Census/CensusColumnMotherForeignTest.php,107,4,0,4,1.00,0,0,Substantial
Census/CensusColumnNationalityTest.php,115,4,0,4,1.00,0,0,Substantial
Census/CensusColumnNullTest.php,40,1,0,1,1.00,0,0,Stub
Census/CensusColumnOccupationTest.php,58,2,0,2,1.00,0,0,Smoke
Census/CensusColumnRelationToHeadEnglishTest.php,41,1,0,1,1.00,0,0,Stub
Census/CensusColumnRelationToHeadGermanTest.php,41,1,0,1,1.00,0,0,Stub
Census/CensusColumnRelationToHeadTest.php,50,1,0,2,2.00,0,0,Stub
Census/CensusColumnReligionTest.php,82,3,0,3,1.00,0,0,Substantial
Census/CensusColumnSexFTest.php,65,3,0,3,1.00,0,0,Substantial
Census/CensusColumnSexMFTest.php,65,3,0,3,1.00,0,0,Substantial
Census/CensusColumnSexMKTest.php,65,3,0,3,1.00,0,0,Substantial
Census/CensusColumnSexMTest.php,65,3,0,3,1.00,0,0,Substantial
Census/CensusColumnSexMZTest.php,66,3,0,3,1.00,0,0,Substantial
Census/CensusColumnSurnameGivenNameInitialTest.php,68,2,0,2,1.00,0,0,Smoke
Census/CensusColumnSurnameGivenNamesTest.php,87,3,0,3,1.00,0,0,Substantial
Census/CensusColumnSurnameTest.php,53,2,0,2,1.00,0,0,Smoke
Census/CensusColumnYearsMarriedTest.php,119,5,0,5,1.00,0,0,Substantial
Census/CensusOfCanada1851Test.php,79,2,0,36,18.00,0,0,Smoke
Census/CensusOfCanada1861Test.php,79,2,0,36,18.00,0,0,Smoke
Census/CensusOfCanada1871Test.php,88,2,0,45,22.50,0,0,Smoke
Census/CensusOfCanada1881Test.php,88,2,0,45,22.50,0,0,Smoke
Census/CensusOfCanada1891Test.php,106,2,0,63,31.50,0,0,Smoke
Census/CensusOfCanada1901Test.php,136,2,0,93,46.50,0,0,Smoke
Census/CensusOfCanada1911Test.php,151,2,0,108,54.00,0,0,Smoke
Census/CensusOfCanada1921Test.php,143,2,0,99,49.50,0,0,Smoke
Census/CensusOfCanada1931Test.php,160,2,0,117,58.50,0,0,Smoke
Census/CensusOfCanadaPraries1916Test.php,101,2,0,58,29.00,0,0,Smoke
Census/CensusOfCanadaPraries1926Test.php,100,2,0,57,28.50,0,0,Smoke
Census/CensusOfCanadaTest.php,61,3,0,14,4.67,0,0,Substantial
Census/CensusOfCzechRepublic1880Test.php,85,2,0,42,21.00,0,0,Smoke
Census/CensusOfCzechRepublic1890Test.php,85,2,0,42,21.00,0,0,Smoke
Census/CensusOfCzechRepublic1900Test.php,88,2,0,45,22.50,0,0,Smoke
Census/CensusOfCzechRepublic1910Test.php,88,2,0,45,22.50,0,0,Smoke
Census/CensusOfCzechRepublic1921Test.php,106,2,0,63,31.50,0,0,Smoke
Census/CensusOfCzechRepublicTest.php,55,3,0,8,2.67,0,0,Substantial
