file,lines,methods,providers,assertions,density,phpdoc_ep,phpdoc_sub,classification
AccessControlTest.php,295,12,0,32,2.67,0,0,EP-complete
AccountSelfManagementIntegrationTest.php,147,4,0,8,2.00,0,0,Substantial
AddRelationIntegrationTest.php,129,3,1,3,1.00,0,0,Substantial
AutoCompleteIntegrationTest.php,159,5,0,15,3.00,0,0,Substantial
BadBotBlockerIntegrationTest.php,217,8,2,9,1.12,0,0,Substantial
BlockModuleIntegrationTest.php,266,11,1,15,1.36,0,0,Substantial
BootstrapOnlyIntegrationTest.php,210,14,0,20,1.43,0,0,Substantial
CalendarChartIntegrationTest.php,160,7,0,9,1.29,0,0,Substantial
ChangeFamilyMembersActionIntegrationTest.php,157,5,0,15,3.00,0,0,Substantial
ChartModuleIntegrationTest.php,454,17,4,22,1.29,0,0,EP-complete
CheckTreeIntegrationTest.php,68,2,0,2,1.00,0,0,Smoke
CliSettingsBatchIntegrationTest.php,308,17,0,25,1.47,0,0,Substantial
CreateSubrecordIntegrationTest.php,115,4,0,6,1.50,0,0,Substantial
DataMaintenanceIntegrationTest.php,110,4,0,4,1.00,0,0,Substantial
DeleteRecordIntegrationTest.php,89,2,0,5,2.50,0,0,Smoke
EditFactIntegrationTest.php,106,3,0,3,1.00,0,0,Substantial
EditMediaFileIntegrationTest.php,134,2,0,4,2.00,0,0,Smoke
EditRawGedcomIntegrationTest.php,101,3,0,3,1.00,0,0,Substantial
ExportGedcomIntegrationTest.php,134,4,0,6,1.50,0,0,Substantial
GedcomEditServiceIntegrationTest.php,223,9,0,15,1.67,0,0,Substantial
GedcomImportTest.php,641,28,0,54,1.93,0,0,Substantial
GedcomLoadIntegrationTest.php,246,8,0,9,1.12,0,0,Substantial
GedcomRecordPageIntegrationTest.php,92,2,1,5,2.50,0,0,Smoke
GedcomServiceIntegrationTest.php,90,11,0,15,1.36,0,0,Smoke
HelpTextIntegrationTest.php,71,2,1,4,2.00,0,0,Smoke
ImportGedcomActionIntegrationTest.php,152,4,0,4,1.00,0,0,Substantial
IndividualFactsIntegrationTest.php,94,3,0,6,2.00,0,0,Substantial
InteractiveTreeIntegrationTest.php,110,3,0,10,3.33,0,0,Substantial
IsDeadTest.php,221,17,0,34,2.00,0,0,EP-complete
ListModuleIntegrationTest.php,312,17,0,18,1.06,0,0,Substantial
LoginActionIntegrationTest.php,62,1,0,2,2.00,0,0,Stub
LogsMonitoringIntegrationTest.php,124,4,0,6,1.50,0,0,Substantial
